N_DISC,T,estimated_epo
2,0.014734939863044316,0.019373192
2,0.45383080271930193,-0.020526405
3,0.004040319945043676,0.07050003
3,0.08128638503537178,0.023760818
3,0.6172925288537399,0.0051997774
4,0.001531078127782132,0.032972153
4,0.027938801598306497,0.049394142
4,0.1796498156736578,0.028493568
4,0.7280117897649458,0.047355223
5,0.0007660053731651394,-0.030532397
5,0.01362235092289705,0.09264381
5,0.07105383977939264,-0.008488145
5,0.2843775409332242,0.10789178
5,0.8015946194471865,-0.0641623
6,0.00048820755325309524,-0.05207185
6,0.007603099341013807,0.09889807
6,0.03615629567477533,0.06558114
6,0.12641647439596823,0.001643689
6,0.3837468673881693,0.17802589
6,0.8501389518119283,-0.10336498
7,0.00034664390947069666,-0.049681354
7,0.004522970470082682,0.10208154
7,0.02178005755626979,0.14213498
7,0.06823811711714929,-0.018803092
7,0.18899423792862316,0.043751284
7,0.47151186480946894,0.2338869
7,0.883684838551002,-0.37792087
8,0.00025175521285548887,-0.09050091
8,0.002810401042708776,0.07818886
8,0.014589166581189375,0.123066746
8,0.04128843661542362,0.07307265
8,0.10653546359818629,0.0009435319
8,0.2527641677491293,0.040624905
8,0.5480771422078824,0.27123103
8,0.9079464373220094,-0.4924325
9,0.00019131266574912384,-0.10915847
9,0.0019112643749072135,0.045787066
9,0.010035720665102145,0.13350694
9,0.027832662864482927,0.122431986
9,0.06693769820105443,-0.013419114
9,0.14908879404057798,0.044103753
9,0.3144497461233119,0.14738753
9,0.6104409334775618,0.24292995
9,0.9255981429329617,-0.6305129
10,0.00015046335475249253,-0.07440506
10,0.001381547391577786,0.002387392
10,0.007025014873421933,0.11005276
10,0.020219686972372166,0.14540388
10,0.0448979867230972,0.060047626
10,0.09720969283568809,-4.785922e-05
10,0.1944552211741744,0.045459826
10,0.37429986069227394,0.17202114
10,0.6647699676883514,0.15363395
10,0.9384192712060215,-0.6610177
11,0.00012542517280373855,-0.056176286
11,0.0010708038325444175,-0.024413487
11,0.0050434548704847435,0.038299438
11,0.015127541306115513,0.16227965
11,0.03231486503720859,0.14038952
11,0.06630868516117798,-0.008291391
11,0.12859091272299966,0.028955057
11,0.241470488377243,0.049163498
11,0.4290431773897671,0.25123492
11,0.7099794293861791,0.05681483
11,0.9468721431831987,-0.69878733
12,0.00010496575259646239,-0.046620306
12,0.0008714493539097281,-0.02168593
12,0.003629383982557424,0.07535013
12,0.011553019996724943,0.1536358
12,0.024594243695536436,0.16735871
12,0.047649113809827164,0.024014441
